Customer_ID,Marital_Status,Employment_Status,Education_Level,Preferred_Communication_Channel
CUST_0162,Widowed,Student,PhD,Social Media
CUST_0163,Married,Unemployed,Master,Email
CUST_0164,Single,Employed,Master,Email
CUST_0165,Divorced,Student,PhD,Email
CUST_0166,Widowed,Unemployed,Master,Phone
CUST_0167,Single,Employed,Bachelor,Email
CUST_0168,Divorced,Employed,Bachelor,Social Media
CUST_0169,Married,Unemployed,Master,SMS
CUST_0170,Divorced,Unemployed,PhD,SMS
CUST_0171,Married,Unemployed,PhD,Social Media
CUST_0172,Divorced,Student,PhD,Email
CUST_0173,Divorced,Employed,High School,Phone
CUST_0174,Single,Student,Master,SMS
CUST_0175,Single,Employed,High School,Social Media
CUST_0176,Divorced,Retired,Bachelor,Phone
CUST_0177,Married,Unemployed,High School,SMS
CUST_0178,Married,Student,High School,SMS
CUST_0179,Married,Retired,High School,Social Media
CUST_0180,Divorced,Retired,High School,Phone
CUST_0181,Divorced,Employed,Master,Email
CUST_0182,Widowed,Unemployed,Bachelor,Email
CUST_0183,Married,Retired,Bachelor,Email
CUST_0184,Widowed,Retired,Bachelor,Phone
CUST_0185,Widowed,Unemployed,High School,Email
CUST_0186,Married,Student,High School,Email
CUST_0187,Married,Employed,Bachelor,Email
CUST_0188,Widowed,Employed,Bachelor,Phone
CUST_0189,Widowed,Employed,PhD,Email
CUST_0190,Widowed,Employed,Master,Social Media
CUST_0191,Married,Student,PhD,SMS
CUST_0192,Married,Student,Master,Email
CUST_0193,Divorced,Employed,High School,Email
CUST_0194,Divorced,Employed,Bachelor,Phone
CUST_0195,Widowed,Student,PhD,Phone
CUST_0196,Married,Unemployed,Bachelor,Email
CUST_0197,Single,Unemployed,High School,SMS
CUST_0198,Married,Unemployed,Master,Social Media
CUST_0199,Married,Retired,High School,Email
CUST_0200,Single,Employed,Bachelor,SMS
