Customer_ID,Age,Gender,Annual_Income,Country,Purchase_Date,Number_of_Purchases,Subscription,Favorite_Product_Category,Customer_Satisfaction_Score
CUST_0038,68.0,Female,32358.08783016393,GER,2021-10-01,36,False,Books,10.0
CUST_0039,61.0,Female,56682.603519220764,United Kingdom,2021-09-28,97,False,Books,5.0
CUST_0040,,Female,28073.65015946417,France,2021-07-27,23,False,Electronics,10.0
CUST_0041,20.0,F,54348.24217305689,UK,2021-01-27,66,False,Home & Garden,5.0
CUST_0042,54.0,M,47191.62565476779,CAN,2021-03-13,85,True,Sports,3.0
CUST_0043,68.0,Female,23850.72129182362,France,2021-03-01,2,True,Clothing,
CUST_0044,24.0,F,660421.6928061305,United Kingdom,2021-05-25,91,False,Clothing,6.0
CUST_0045,38.0,F,47542.02104805548,CAN,2021-04-03,73,True,Books,4.0
CUST_0046,26.0,Female,77911.67081178748,GER,2021-11-05,65,True,Home & Garden,
CUST_0047,56.0,F,72173.78172233695,United Kingdom,2021-01-08,75,True,Automotive,9.0
CUST_0048,35.0,M,36807.98239629865,Germany,2021-03-20,67,False,Automotive,1.0
CUST_0049,21.0,F,38124.2003201663,United States,2021-01-27,52,True,Sports,4.0
CUST_0050,,M,32420.34718324332,GER,2021-06-23,62,False,Boks,1.0
CUST_0051,31.0,Female,26203.045723604984,CAN,2021-02-19,23,True,Home & Garden,6.0
CUST_0052,67.0,F,43667.34237573505,UK,2021-07-18,26,False,Home & Garden,4.0
CUST_0053,26.0,Male,71656.20814528642,France,2021-12-15,68,True,Electronics,5.0
CUST_0054,43.0,Female,21276.389455857166,USA,2021-06-30,82,False,Automotive,5.0
CUST_0055,19.0,Male,62779.16701347027,France,2021-01-24,55,False,Automotive,9.0
CUST_0056,,F,61525.09181457506,CAN,2021-11-12,6,True,Automotive,1.0
CUST_0057,45.0,F,,France,2021-02-15,35,False,Books,2.0
CUST_0058,,M,60997.600471165286,United States,2021-01-15,22,False,Toyz,6.0
CUST_0059,24.0,M,33436.67317179301,United Kingdom,2021-06-02,43,False,Clothing,5.0
CUST_0060,61.0,F,61423.57761946395,USA,2021-08-10,15,False,Electronics,7.0
CUST_0061,25.0,Female,41761.12727688394,US,2021-07-25,86,False,Automotive,3.0
CUST_0062,64.0,Male,13112.099568821774,CAN,2021-09-30,60,True,Sports,3.0
CUST_0063,52.0,M,50861.19421634556,Canada,2021-08-24,12,False,Automotive,
CUST_0064,31.0,Male,37338.384013868796,US,2021-12-06,49,False,Automotive,2.0
CUST_0065,34.0,F,70382.24949999092,UK,2021-08-16,42,True,Toys,3.0
CUST_0066,53.0,Male,45704.802257511205,CAN,2021-01-09,38,True,Books,10.0
CUST_0067,67.0,F,50684.117598883924,Germany,2021-06-15,82,False,Electronics,1.0
CUST_0068,57.0,F,55837.693642168095,Canada,2021-11-15,45,False,Toys,5.0
CUST_0069,21.0,M,45988.99043174931,USA,2021-08-02,35,True,Toys,5.0
CUST_0070,19.0,M,48442.38323855001,UK,2021-04-27,30,True,Sports,7.0
CUST_0071,23.0,M,62653.61034170516,Germany,2021-12-10,88,True,Home & Garden,4.0
CUST_0072,59.0,Female,34005.17782640047,US,2021-03-13,30,False,Sports,3.0
CUST_0073,21.0,F,39472.798362085996,United Kingdom,2021-03-05,78,True,Home & Garden,1.0
CUST_0074,46.0,M,35493.3341809855,United States,2021-07-24,6,False,Home & Garden,8.0
CUST_0075,35.0,Male,71551.3200882433,UK,2021-07-28,67,False,Electronics,3.0
CUST_0076,43.0,Male,39474.50034488255,Germany,,80,True,Automotive,2.0
CUST_0077,,M,47850.7511192438,United Kingdom,2023-12-31,7,True,Electronics,4.0
CUST_0078,51.0,M,40990.92978125623,United Kingdom,2021-10-01,52,False,Books,3.0
CUST_0079,27.0,Male,45377.33070087819,CAN,2021-11-16,14,False,Home & Garden,1.0
CUST_0080,53.0,F,38938.558002848265,Germany,2021-12-04,73,False,Toys,3.0
CUST_0081,31.0,F,56940.86470461678,USA,2023-12-31,15,True,Automtoive,2.0
CUST_0082,48.0,M,34387.247700801556,France,2021-06-15,21,True,Clothing,8.0
CUST_0083,65.0,F,29713.241676350044,Canada,2021-02-01,35,False,Books,6.0
CUST_0084,32.0,F,41623.694458508595,US,2021-01-11,66,False,Electronics,9.0
CUST_0085,25.0,M,38026.47172952701,US,2023-12-31,91,True,Sports,8.0
CUST_0086,31.0,F,29932.327642874327,US,2021-08-05,2,False,Books,10.0
CUST_0087,40.0,M,,Canada,2021-10-16,35,True,Books,3.0
CUST_0088,57.0,M,25098.238691655,USA,2021-04-12,82,False,Automotive,5.0
CUST_0089,38.0,F,75916.21441151388,United States,2021-09-24,78,False,Books,7.0
CUST_0090,33.0,F,27610.979533764606,GER,2021-08-02,20,True,Books,5.0
CUST_0091,62.0,F,40305.507510488766,France,2021-06-28,82,True,Clothing,8.0
CUST_0092,35.0,M,43946.67564729634,United States,2021-03-29,10,True,Sports,5.0
CUST_0093,64.0,F,,CAN,2021-02-10,25,True,Sports,1.0
CUST_0094,41.0,Female,24045.27034363733,GER,2021-03-17,66,False,Sports,5.0
CUST_0095,43.0,Male,52130.751378763525,GER,2021-02-15,25,True,Home & Garden,4.0
CUST_0096,42.0,F,65557.37697416937,Germany,2021-06-09,54,False,Toys,6.0
CUST_0097,62.0,F,45353.85344776092,USA,2021-03-21,33,True,Sports,
CUST_0098,58.0,F,324527.4451743486,USA,2021-11-06,36,True,Books,5.0
CUST_0099,46.0,M,48380.22553470412,GER,2021-03-27,95,False,Books,2.0
CUST_0100,32.0,F,72906.51889838715,Germany,2021-04-02,14,True,Sports,6.0
CUST_0101,62.0,F,40763.212328484326,France,2021-05-28,65,True,Automotive,6.0
CUST_0102,18.0,Female,71542.7520211665,GER,2021-06-10,80,True,Home & Garden,5.0
CUST_0103,42.0,F,,UK,2021-07-21,54,True,Books,6.0
CUST_0104,24.0,M,,US,2021-08-30,52,False,Home & Garden,7.0
CUST_0105,26.0,M,53280.24638414211,US,2021-12-19,3,False,Electronics,5.0
CUST_0106,41.0,F,42734.364620460445,United States,2021-01-02,99,True,Electronics,1.0
CUST_0107,18.0,F,74582.8997956093,CAN,2021-08-13,41,True,Sports,8.0
CUST_0108,61.0,F,53378.530292084055,US,2021-10-16,6,True,Clothing,4.0
CUST_0109,25.0,Female,52496.443037047415,United Kingdom,2021-08-21,25,False,Sports,9.0
CUST_0110,41.0,F,62113.334474081435,United States,2021-03-18,13,True,Automotive,10.0
CUST_0111,28.0,Female,63862.28574628303,US,2021-04-26,98,False,Sports,6.0
CUST_0112,68.0,Male,62192.84696357149,CAN,2021-06-03,8,False,Electronics,1.0
CUST_0113,34.0,Male,29739.170705877405,USA,,21,True,Books,3.0
CUST_0114,25.0,F,40441.46701886184,USA,2021-07-13,98,True,Sports,3.0
CUST_0115,52.0,M,40152.06572796774,France,2021-06-15,68,True,Books,10.0
CUST_0116,52.0,Female,38313.796561281866,GER,2021-12-25,1985,True,Books,4.0
CUST_0117,50.0,M,36918.44351894662,UK,2021-03-31,79,True,Clothing,6.0
CUST_0118,22.0,F,39934.64133273957,France,2021-06-23,68,False,Books,7.0
CUST_0119,59.0,F,550392.3114281241,Germany,2021-05-02,45,False,Electronics,10.0
CUST_0120,,F,57416.139308747435,US,2021-05-23,60,True,Home & Garden,4.0
CUST_0121,58.0,M,49975.46050033853,Germany,2021-04-16,12,True,Home & Garden,6.0
CUST_0122,45.0,Male,43609.51492153371,CAN,2021-11-01,32,True,Toys,
CUST_0123,24.0,Male,69131.94872980431,USA,2021-12-26,96,False,Clthng,8.0
CUST_0124,26.0,F,48626.50909025244,UK,2021-11-13,92,False,Sports,7.0
CUST_0125,25.0,F,64056.08780472768,CAN,2021-05-03,13,True,Automotive,9.0
CUST_0126,29.0,Female,41460.10804176833,United Kingdom,2021-01-09,31,True,Electronics,3.0
CUST_0127,,Male,56205.691999281116,United Kingdom,2021-09-19,78,False,Books,2.0
CUST_0128,50.0,Female,70131.32756458873,Germany,,20,True,Home & Garden,1.0
CUST_0129,65.0,M,108681.79854734364,United States,2021-12-25,18,True,Automotive,
CUST_0130,40.0,Male,40173.72074263883,CAN,2021-08-11,93,False,Electronics,5.0
CUST_0131,41.0,Male,58906.132637618175,GER,2021-02-10,1012,True,Home & Garden,
CUST_0132,54.0,F,,France,2021-07-23,63,True,Books,3.0
CUST_0133,52.0,Male,53046.703219197596,GER,2021-09-21,6,True,Automotive,4.0
CUST_0134,61.0,M,50743.59093949107,France,2021-11-24,32,True,Home & Garden,7.0
CUST_0135,57.0,F,74158.6769483495,France,2021-06-27,93,False,Sports,3.0
CUST_0136,39.0,F,69109.90085883229,UK,2021-12-14,43,True,Sports,9.0
CUST_0137,44.0,Female,36971.27094428451,USA,2021-11-14,2,False,Toys,8.0
CUST_0138,52.0,M,51746.16470181136,UK,2021-03-25,60,True,Toys,
CUST_0139,18.0,Male,55402.53503203273,France,2021-11-14,23,True,Home & Garden,1.0
CUST_0140,52.0,M,75778.99061020529,CAN,2021-04-21,83,True,Electronics,1.0
CUST_0141,54.0,Female,62991.057740641976,United Kingdom,2023-12-31,31,True,Sports,
CUST_0142,64.0,F,48446.358501475646,France,2021-01-07,5,True,Electronics,1.0
CUST_0143,31.0,Female,53301.11493205432,UK,2021-03-25,83,True,Home & Garden,8.0
CUST_0144,20.0,Female,21741.747661491598,UK,2021-07-27,34,True,Home & Garden,3.0
CUST_0145,18.0,Male,64529.42726941017,UK,2021-11-10,10,True,Electronics,6.0
CUST_0146,22.0,F,59685.99183084871,GER,2021-01-22,89,False,Sports,
CUST_0147,43.0,Female,68182.34649837653,US,2021-01-03,2,True,Books,5.0
CUST_0148,31.0,M,47839.2605258822,Germany,2021-05-07,11,False,Toys,7.0
CUST_0149,56.0,M,51920.616028376906,United States,2021-10-24,50,False,Books,
CUST_0150,44.0,F,42779.92476080412,UK,2021-07-07,31,True,Electronics,6.0
CUST_0151,26.0,F,,United States,2021-12-28,56,True,Books,
CUST_0152,32.0,F,40966.15695676736,Canada,,79,True,Sports,3.0
CUST_0153,32.0,F,22710.49325705106,UK,2021-01-12,73,False,Sports,6.0
CUST_0154,,Female,63719.082733911266,US,2021-03-28,87,True,Electronics,10.0
CUST_0155,59.0,F,173767.62460203544,United States,2021-01-12,83,False,Home & Garden,10.0
CUST_0156,,M,80482.13788938828,France,2021-01-25,9,True,Books,5.0
CUST_0157,68.0,M,23538.09651049877,UK,2021-10-28,99,True,Home & Garden,2.0
CUST_0158,49.0,Male,72498.33013512797,USA,2021-08-31,21,False,Home & Garden,9.0
CUST_0159,56.0,F,36379.18934644343,Germany,2021-05-02,73,True,Clothing,8.0
CUST_0160,66.0,Female,58415.49601206591,US,2021-05-27,28,True,Electronics,3.0
CUST_0161,69.0,F,38713.299495096966,United States,2021-02-24,62,False,Toys,
CUST_0162,,F,75106.22239087074,US,2021-08-26,7,True,Sports,9.0
CUST_0163,21.0,Female,50655.5400212641,CAN,2021-12-22,80,False,Sports,3.0
CUST_0164,47.0,M,66105.23018148128,Germany,2021-06-22,16,False,Electronics,3.0
CUST_0165,54.0,F,51140.720598445776,France,2021-08-09,97,False,Automotive,2.0
CUST_0166,40.0,Male,,UK,2021-04-29,4,True,Automotive,8.0
CUST_0167,,F,59241.59981029624,UK,2021-11-05,1492,True,Automotive,10.0
CUST_0168,62.0,F,42069.140217504435,UK,2021-07-02,40,True,Toys,1.0
CUST_0169,32.0,Male,30795.633076471164,Germany,2021-10-15,17,True,Sports,8.0
CUST_0170,60.0,F,30475.950113870003,USA,2021-11-03,52,True,Electronics,7.0
CUST_0171,46.0,M,50762.63853704234,Canada,2021-10-27,93,False,Sports,7.0
CUST_0172,53.0,M,42670.3987191788,United Kingdom,2021-03-23,52,True,Home & Garden,3.0
CUST_0173,30.0,Male,17812.148602250873,GER,2023-12-31,36,False,Books,1.0
CUST_0174,49.0,F,57694.118761872436,United States,2021-05-30,38,True,Books,4.0
CUST_0175,24.0,Male,31722.655380701217,USA,2021-02-06,50,True,Sports,9.0
CUST_0176,68.0,Male,32595.124620960414,France,2021-12-18,63,False,Clothing,5.0
CUST_0177,39.0,Male,49375.609485696135,United States,2021-11-08,63,False,Toys,1.0
CUST_0178,45.0,F,36498.265128891304,UK,2021-12-27,62,False,Automotive,5.0
CUST_0179,19.0,Male,51837.582475092786,US,2021-02-28,99,False,Toys,8.0
CUST_0180,59.0,F,79601.91337403837,France,2023-12-31,7,False,Toys,8.0
CUST_0181,62.0,M,44314.135307265184,United States,2021-07-21,27,True,Home & Garden,5.0
CUST_0182,23.0,M,34106.31280675027,UK,2021-08-31,92,True,Toys,9.0
CUST_0183,45.0,Female,52722.60466440965,United States,2021-02-04,86,False,Books,1.0
CUST_0184,45.0,Male,38371.52309498469,US,2021-04-03,14,False,Home & Garden,4.0
CUST_0185,61.0,F,50356.272229966205,UK,2021-07-26,71,True,Electronics,3.0
CUST_0186,,Male,54734.53965021858,Canada,2021-12-19,86,False,Boks,2.0
CUST_0187,37.0,F,49472.045923062746,USA,2021-11-28,5,True,Toys,8.0
CUST_0188,47.0,F,50848.38424383752,CAN,2021-11-01,55,False,Electronics,7.0
CUST_0189,28.0,F,52881.35570948974,USA,2021-12-16,1212,False,Toys,9.0
CUST_0190,45.0,Female,73956.69083781216,Germany,2021-08-01,62,False,Electronics,2.0
CUST_0191,42.0,M,46206.21043839508,GER,,91,False,Home & Garden,4.0
CUST_0192,56.0,F,51911.51610002135,France,2021-01-24,21,False,Books,6.0
CUST_0193,50.0,F,63002.73595013215,GER,2021-10-20,79,False,Electronics,3.0
CUST_0194,18.0,M,57065.55247127032,UK,2021-01-04,21,False,Clothing,8.0
CUST_0195,44.0,Female,44626.86199263831,Canada,2021-08-08,10,True,Electronics,3.0
CUST_0196,69.0,Male,63527.95155526831,CAN,2021-12-30,87,True,Toys,2.0
CUST_0197,30.0,F,,USA,,58,True,Automotive,3.0
CUST_0198,58.0,M,46598.75859052661,USA,2021-06-01,39,False,Automotive,6.0
CUST_0199,20.0,F,38433.7018924334,US,2021-02-19,5,False,Home & Garden,2.0
CUST_0200,56.0,M,58642.61899206652,Germany,2021-06-26,65,False,Sports,8.0
